Video ID,Title,Channel,Published At
00iuKAui-tY,❌HELGE SCHNEIDER 😅❌ #aliceweidel #afd #politik #bundestag #cdu #chrupalla #spd #merz #scholz,Rich Kids of Wall Street ,2025-02-28T11:25:20Z
ZXCWRGUN-g4,"Armut, Absturz, AfD? So wählt der Brennpunkt | WDR Doku",WDR Doku,2025-02-13T17:00:42Z
m2wxq6D24dM,Wahlkampf-Finale | AfD macht Reiche reicher | Das Ende der Ukraine? | heute-show von 21.02.2025,ZDF heute-show,2025-02-21T21:39:15Z
YW8AUx1HD9g,Mein Streit mit AfD-Chef Chrupalla! | hart aber fair 360,Geld für die Welt — Maurice Höfgen,2025-02-16T15:00:48Z
8Tk04oUaMOs,Völlig irre: AfD-Politiker darf nicht zum Publikum sprechen! - Kay Gottschalk - AfD-Fraktion,AfD-Fraktion Bundestag,2024-12-19T08:25:30Z
Cb548iESEj8,Weidel AfD Prognose nach CDU SPD Grüne #shorts #afd #weidel,CF Global-Clips,2025-02-23T20:34:26Z
HbHOd3fI1So,Der Fluchtgrund ist nicht mehr vorhanden! #afd #remigration #bundestag,AfD-Fraktion Bundestag,2024-12-11T10:07:41Z
GFyYnq10qRw,❌TRUMP FORDERT AFD KOALITION 😲❌ #politik #afd #trump #chrupalla #spd #bundestag #merz #scholz #cdu,Rich Kids of Wall Street ,2025-02-15T12:05:41Z
7Kc1X1Q75U8,Magyarország bezzegország #orbán #weidel #afd #24ponthu,24.hu,2025-02-13T16:00:07Z
ITJsLn0LrGM,Was trennt CDU und AfD? Philipp Amthor und Bernd Baumann diskutieren | maischberger,tagesschau,2025-02-13T10:13:55Z
ciVJupSYTeA,Deutschland braucht die AFD,wayzero - Topic,2025-02-22T16:46:09Z
_idURByzaCQ,Kohle zu Strom: AfD will den Kohleausstieg stoppen  #Kohle #AfD #Energieversorgung #Klimawandel,MDR Aktuell,2025-02-11T17:00:43Z
FiuLUz2UO-o,AfD: Almanya&#39;da yükselişteki aşırı sağcı parti,BBC News Türkçe,2025-02-18T16:00:17Z
1D_5uy85CLQ,"Zwischen Nazis, Wutbürgern &amp; Antifa💀 - ich war auf dem AFD-Wahlkampfauftakt...",marcant,2025-02-03T17:15:05Z
2-UPU00L8yw,The AfD: A more likely coalition partner now? | Berlin Briefing Podcast,DW News,2025-02-08T03:30:01Z
IeYB_Hmsu84,"Germany Election: AfD Candidate Alice Weidel on Election, EU, Trump, Energy",Bloomberg Television,2024-12-19T06:57:03Z
PbGZZxuHOiw,Habt ihr es auch gehört?🫣 #afd #aliceweidel #politik #deutschland #remigration,Adlers Anstalt,2025-02-25T18:03:00Z
aGSA5V0uyjA,📢 Ilyen egy elegáns szabadságharcos! #mandiner #OrbánViktor #AfD #Németország,Mandiner,2025-02-13T09:00:01Z
d71JebMOVVE,Zölle im Fokus - Wie die AfD auf Trump reagiert #afd,Extratalk,2025-01-24T19:37:34Z
VuhH9gYUQIE,"Alice Weidel von der AfD teilt gegen Merz, Scholz und Habeck aus 💥😱 #politik #afd #cdu #grüne #spd",Kevin Beutler,2025-02-23T06:00:20Z
