videoId,publishedAt,period,viewCount,likeCount,commentCount
M0VWUC-2A3M,2025-02-18 16:45:44+00:00,After Founding,22247,2579,711
1h-dPVJ546Y,2025-02-18 10:10:18+00:00,After Founding,19945,1367,274
Ilz89_X9vLA,2025-02-17 17:19:22+00:00,After Founding,55552,5931,418
fTVVQ5qhQaM,2025-02-17 11:34:24+00:00,After Founding,19541,2981,225
iDacAEPH5Mw,2025-02-17 09:47:49+00:00,After Founding,36069,3613,732
HZq8ehTxgw4,2025-02-16 17:28:02+00:00,After Founding,15767,2382,190
Z7FxYYOgbmo,2025-02-16 10:08:02+00:00,After Founding,16277,2590,240
N1rqJVGj1_k,2025-02-15 15:21:29+00:00,After Founding,19233,2203,351
lYFNTnDHIik,2025-02-15 10:41:21+00:00,After Founding,23239,2675,146
giNrsFl9Lc8,2025-02-14 17:10:23+00:00,After Founding,22055,2490,201
8dc1woIjHbo,2025-02-14 15:11:23+00:00,After Founding,25070,2774,178
-GkvmnDs0P8,2025-02-14 12:54:18+00:00,After Founding,14604,1924,137
qxeHdMLZd-s,2025-02-13 17:09:45+00:00,After Founding,32381,3653,348
GHxvEMW5DKs,2025-02-13 10:32:10+00:00,After Founding,17736,1679,104
LOxLJI2igzk,2025-02-12 19:58:59+00:00,After Founding,30365,3254,294
DAr1BoKi2u0,2025-02-12 17:01:20+00:00,After Founding,22935,2425,292
-oZzNhEYL0s,2025-02-12 15:07:45+00:00,After Founding,11634,1704,161
XWo02QoRT6Y,2025-02-12 10:16:07+00:00,After Founding,12299,1727,167
1I4k4aZtdDo,2025-02-11 17:01:48+00:00,After Founding,16930,1972,162
ISHyDjrYrYU,2025-02-11 15:12:42+00:00,After Founding,28701,2699,225
xI7MsGcTgPU,2025-02-11 13:48:12+00:00,After Founding,67333,4915,2104
q3ay3DojScQ,2025-02-10 15:14:54+00:00,After Founding,37028,3029,186
uS6ZyfyypWE,2025-02-10 14:12:46+00:00,After Founding,57611,3921,876
p9t2O1y-AWw,2025-02-10 10:11:36+00:00,After Founding,19585,2950,341
5enyL6ZWAVA,2025-02-10 07:52:54+00:00,After Founding,9676,1425,162
x_KQo1ZppeM,2025-02-09 15:05:01+00:00,After Founding,11410,958,126
yxTtoiTGFzg,2025-02-09 10:05:08+00:00,After Founding,58726,3493,498
WkGAkMB9s1w,2025-02-08 17:07:19+00:00,After Founding,34808,3735,397
mhCS7ONMpO8,2025-02-08 13:01:52+00:00,After Founding,11052,1473,93
QU3-DEK5YeQ,2025-02-07 19:04:06+00:00,After Founding,20700,997,149
l0BCbVMMfP0,2025-02-07 17:35:47+00:00,After Founding,337691,15887,1058
0bXObNFweuM,2025-02-07 13:16:17+00:00,After Founding,29480,3118,330
tQ-WxaVhB7s,2025-02-07 10:18:59+00:00,After Founding,84278,6870,444
X3vdNP4Mjtg,2025-02-06 17:02:37+00:00,After Founding,904243,29923,1596
GM5LP29RKqc,2025-02-06 11:01:57+00:00,After Founding,24158,2782,405
a4ziPldxh-U,2025-02-05 17:49:15+00:00,After Founding,22400,2412,325
hgswPvCyliA,2025-02-05 10:51:29+00:00,After Founding,31291,3836,310
5ECUB4ytzZY,2025-02-04 17:17:07+00:00,After Founding,17601,1696,176
Wdna00tCibs,2025-02-03 17:00:53+00:00,After Founding,77189,7465,616
54iKyWzGqAo,2025-02-02 17:08:55+00:00,After Founding,34068,3109,267
-Ekf2UnTSMI,2025-02-02 11:02:59+00:00,After Founding,66823,5595,569
81tCRNQjwq8,2025-02-01 17:17:08+00:00,After Founding,20458,2104,435
n8tji-CDSYI,2025-02-01 14:03:14+00:00,After Founding,18376,2329,213
DucNDOenBVQ,2025-02-01 11:10:07+00:00,After Founding,29093,2535,284
R677ZDqI7fo,2025-01-31 15:51:49+00:00,After Founding,168848,8925,4431
gynXfjrAOMs,2025-01-31 11:01:28+00:00,After Founding,19487,1798,181
BSLVe0ZAlWk,2025-01-30 12:20:43+00:00,After Founding,110747,6886,1350
L0JndQtfyCg,2025-01-29 18:08:38+00:00,After Founding,64315,4692,1310
WPpbz8oy1iA,2025-01-29 15:27:34+00:00,After Founding,21024,1437,273
DXhIj8TVa6A,2025-01-28 17:46:53+00:00,After Founding,31490,3370,413
Urnp18TuEgM,2025-01-28 14:46:00+00:00,After Founding,81272,5367,1584
mtNkukYbnnU,2025-01-27 17:04:11+00:00,After Founding,17568,1951,333
FUFQRnG_d1k,2025-01-26 17:03:13+00:00,After Founding,27091,2687,339
DGFMCpPtf74,2025-01-25 16:59:36+00:00,After Founding,19004,2037,312
cdFVkLjldwU,2025-01-24 17:01:57+00:00,After Founding,14501,1246,223
c0NELulBHcE,2025-01-23 17:08:13+00:00,After Founding,55053,4319,1404
zRCP3XDRzMs,2025-01-23 17:07:54+00:00,After Founding,28334,2395,315
xkY3SMwGmkw,2025-01-23 12:15:48+00:00,After Founding,66016,2533,673
440wmEUvzHo,2025-01-22 11:10:15+00:00,After Founding,29073,1667,187
_ztLC3nXMl8,2025-01-21 17:36:53+00:00,After Founding,25450,2815,462
x1-YtE0_CFo,2025-01-21 15:52:08+00:00,After Founding,20384,1733,405
RmpHizmsZGc,2025-01-20 18:17:41+00:00,After Founding,27200,2645,357
J7DO7yMTpi4,2025-01-19 17:06:20+00:00,After Founding,24505,1970,689
kq7jA4pRf2s,2025-01-18 17:05:43+00:00,After Founding,18631,1893,194
WlDmh-sWQa4,2025-01-17 17:10:09+00:00,After Founding,22600,2659,229
G0imA8Tnkm8,2025-01-16 17:02:46+00:00,After Founding,163560,11609,1151
uibb1_NC7Co,2025-01-16 11:06:59+00:00,After Founding,20983,2445,359
tVvh-V1xzFg,2025-01-15 17:12:58+00:00,After Founding,63638,3214,520
IiTnbAsqWnM,2025-01-14 17:18:50+00:00,After Founding,74803,6554,902
WTu6qyg-8eA,2025-01-14 11:09:33+00:00,After Founding,23923,2644,289
yjVF6r-ctWY,2025-01-13 17:08:19+00:00,After Founding,12419,1385,87
-9I2bknWhR0,2025-01-13 14:44:54+00:00,After Founding,18322,1639,76
1fFbYAsw3Yw,2025-01-13 10:20:49+00:00,After Founding,14886,1814,336
egHTaMPXtho,2025-01-12 18:31:42+00:00,After Founding,52823,5917,658
vdmuxF3YiJo,2025-01-12 18:30:51+00:00,After Founding,10576,1344,322
gj8D-eKLADQ,2025-01-12 17:49:24+00:00,After Founding,64808,4443,3412
L2FjCQzrFF0,2025-01-10 17:42:30+00:00,After Founding,31314,3829,733
3TOFM5j_gdI,2025-01-09 16:40:28+00:00,After Founding,38251,2254,806
q737BeGtftk,2025-01-09 13:16:30+00:00,After Founding,23494,2171,441
PgAvG4LYTjo,2025-01-08 17:50:03+00:00,After Founding,24102,3106,1117
Jw9p-NZ6MDQ,2025-01-07 17:16:09+00:00,After Founding,182013,10479,718
pYw9iPqHL-U,2025-01-06 17:02:49+00:00,After Founding,46723,4581,705
hd6oHVhYTs8,2025-01-05 16:23:24+00:00,After Founding,295897,12917,1088
yjuYNhnJe-s,2025-01-04 17:09:40+00:00,After Founding,45956,2389,140
nCQZOpgx25k,2025-01-03 17:04:44+00:00,After Founding,72071,4658,593
PIg9V89hY64,2025-01-02 19:30:02+00:00,After Founding,383988,9721,1847
Qn-e6dIGpBY,2024-12-27 10:05:54+00:00,After Founding,976707,28555,3209
fUcb0zmA4BI,2024-12-23 13:36:20+00:00,After Founding,25597,1758,100
KiRq8f-ydJI,2024-12-20 10:45:16+00:00,After Founding,222879,7182,2994
atR6CPUwNIo,2024-12-19 16:47:36+00:00,After Founding,18400,1883,310
UvW0ZqaT4XY,2024-12-18 11:46:19+00:00,After Founding,64059,3943,1360
Dea1zLXh944,2024-12-16 17:44:39+00:00,After Founding,26005,2931,225
Rr23fj1cPHY,2024-12-16 16:23:26+00:00,After Founding,126769,8083,2464
rSrcAjAySIg,2024-12-16 14:34:35+00:00,After Founding,27730,2589,231
iHgbqt_elKw,2024-12-16 11:44:23+00:00,After Founding,66405,4066,944
MVTsqE_cm50,2024-12-12 17:00:21+00:00,After Founding,113436,7183,1471
c2A6JDXuWoo,2024-12-10 18:38:55+00:00,After Founding,59528,5720,1016
rNjE46eAhY4,2024-12-10 12:30:38+00:00,After Founding,28527,2962,555
mDBSh8hwDSo,2024-12-09 16:38:38+00:00,After Founding,34386,4098,663
O_l4n4WBmI4,2024-12-08 16:51:13+00:00,After Founding,67136,6122,966
f_z-4_22uhI,2024-12-04 09:19:25+00:00,After Founding,42287,4303,433
UMwuZMpoMd8,2024-12-03 14:42:40+00:00,After Founding,237802,10194,5081
eRJBimgWThA,2024-12-02 17:07:14+00:00,After Founding,144619,10348,1749
ZexdXkpl-6E,2024-11-21 09:10:55+00:00,After Founding,832104,28690,1407
lT8IvORoyRs,2024-11-13 17:56:16+00:00,After Founding,203279,13962,6906
QPV9kcLgqS0,2024-11-13 12:51:17+00:00,After Founding,29341,2616,273
QPe817SS2-Y,2024-11-12 14:34:12+00:00,After Founding,162745,6469,1695
aLBodcblnVk,2024-11-09 16:10:06+00:00,After Founding,65867,5285,2094
RQf666dZPKk,2024-11-07 15:35:00+00:00,After Founding,169854,11340,2130
fBKaRS3HHJo,2024-11-06 18:21:35+00:00,After Founding,94734,6585,903
H4_d_dS0ayE,2024-11-05 14:39:02+00:00,After Founding,79812,4268,932
JoCp7MN8BXM,2024-10-20 07:55:43+00:00,After Founding,89966,4440,9484
PIZrrdeBwz4,2024-10-16 15:37:49+00:00,After Founding,64460,5939,2336
UwTLGzFhJYo,2024-10-15 14:21:58+00:00,After Founding,84712,5008,1347
GVR8Rz3YU68,2024-10-11 12:39:36+00:00,After Founding,78971,5268,1051
